Temperature,Rainfall,Altitude,Soil_type,Soil_pH,label
30.4,303,256,Loamy,5.5,Cowpea
11.7,1203,2328,Fertile,6.0,Irish Potato
29.0,161,124,Sandy-Loam,5.7,Cowpea
12.0,1197,1807,Clay,6.4,Kale
11.8,946,2078,Loamy,6.7,Carrot
13.8,1154,1758,Sandy-Loam,7.2,Beans
15.1,1369,2242,Loamy,6.3,Beans
28.4,568,556,Sandy-Loam,6.0,Millet
24.0,1239,1709,Clay,5.9,Maize
39.8,197,163,Sandy-Loam,7.0,Green Gram
33.6,728,501,Sandy-Loam,6.4,Millet
20.2,559,426,Sandy-Loam,6.9,Tomato
21.3,1136,1250,Fertile,6.7,Maize
23.5,1088,1874,Loamy,6.5,Soybean
19.8,1122,1576,Fertile,7.0,Soybean
37.1,411,545,Sandy,6.4,Sorghum
16.2,1068,2033,Fertile,6.8,Beans
26.6,757,877,Sandy-Loam,6.3,Tomato
10.6,800,2383,Fertile,6.0,Kale
23.5,615,986,Fertile,6.8,Tomato
18.2,1030,1124,Sandy-Loam,6.1,Maize
11.1,1455,2430,Fertile,6.8,Beans
11.2,1068,2475,Loamy,6.0,Irish Potato
24.8,798,1753,Clay,6.6,Soybean
26.8,660,953,Fertile,6.5,Tomato
26.1,1025,234,Sandy,6.2,Groundnut
33.4,420,498,Loamy,6.3,Cowpea
12.3,578,2030,Sandy-Loam,6.9,Carrot
28.2,906,614,Sandy-Loam,6.3,Groundnut
21.3,1017,2010,Loamy,6.4,Soybean
11.0,1002,1846,Loamy,6.3,Kale
34.1,387,283,Sandy-Loam,6.4,Cowpea
16.1,269,1628,Sandy,6.9,Onion
23.6,664,562,Loamy,6.9,Tomato
29.4,652,823,Sandy,5.8,Millet
20.0,824,531,Loamy,6.3,Tomato
35.5,154,117,Sandy,5.8,Cowpea
9.3,1217,2145,Sandy-Loam,6.0,Irish Potato
33.2,170,625,Clay,5.9,Sorghum
39.3,475,325,Sandy,6.0,Sorghum
30.7,799,616,Sandy,5.7,Groundnut
9.1,635,1983,Sandy-Loam,6.7,Carrot
24.7,975,365,Sandy,6.3,Groundnut
36.6,278,307,Clay,6.1,Green Gram
8.8,1295,2418,Clay,6.2,Irish Potato
17.4,242,1750,Fertile,6.6,Onion
14.9,1200,1876,Sandy,5.8,Kale
10.0,817,2045,Clay,6.5,Carrot
14.8,1298,1809,Fertile,5.9,Kale
10.7,1316,2607,Loamy,5.7,Irish Potato
10.2,1075,2352,Fertile,6.4,Kale
35.8,215,469,Fertile,6.4,Cowpea
16.1,1305,2132,Fertile,6.5,Beans
32.4,329,478,Sandy,5.9,Cowpea
7.8,967,2128,Fertile,6.0,Irish Potato
40.7,125,89,Sandy,6.7,Green Gram
35.2,311,79,Loamy,6.0,Sorghum
21.0,653,868,Sandy-Loam,6.5,Tomato
39.7,447,63,Sandy,5.5,Sorghum
17.5,1566,2408,Sandy,7.0,Beans
7.1,718,2245,Sandy,6.6,Carrot
11.6,1400,2135,Fertile,6.4,Beans
25.4,538,427,Sandy-Loam,6.3,Tomato
27.7,674,941,Loamy,6.0,Millet
34.2,457,629,Sandy-Loam,5.8,Sorghum
17.8,1458,1970,Fertile,6.5,Beans
10.5,1033,2526,Clay,6.0,Kale
34.1,159,41,Sandy-Loam,6.1,Green Gram
20.4,854,1958,Sandy,6.0,Soybean
20.3,990,917,Fertile,6.8,Maize
14.7,1263,2188,Sandy-Loam,6.6,Kale
40.5,261,20,Sandy,6.1,Green Gram
12.4,814,2135,Loamy,6.1,Carrot
11.9,956,2497,Fertile,6.2,Irish Potato
17.8,384,1577,Sandy-Loam,6.3,Onion
35.9,266,72,Fertile,5.5,Sorghum
30.3,241,111,Sandy,6.1,Cowpea
37.5,403,617,Sandy-Loam,5.9,Sorghum
13.9,790,2532,Fertile,6.8,Carrot
33.5,467,690,Sandy,6.0,Millet
5.3,1204,2602,Loamy,5.7,Irish Potato
34.4,313,289,Clay,5.6,Cowpea
7.0,980,3029,Fertile,6.0,Irish Potato
30.8,421,371,Sandy-Loam,5.6,Cowpea
18.6,1345,1401,Loamy,6.8,Maize
19.0,942,1538,Fertile,6.2,Soybean
24.4,878,1990,Sandy-Loam,6.8,Soybean
13.4,763,2107,Fertile,6.8,Carrot
24.4,731,1034,Clay,6.2,Tomato
12.6,778,2462,Sandy-Loam,6.9,Carrot
6.7,1062,2846,Clay,6.2,Irish Potato
9.9,936,2921,Fertile,5.6,Irish Potato
20.2,1418,1265,Fertile,6.3,Maize
38.3,343,43,Sandy-Loam,6.5,Green Gram
23.7,1151,1962,Loamy,6.3,Soybean
15.8,1216,1929,Clay,6.5,Kale
8.4,594,2219,Loamy,6.5,Carrot
16.7,1508,2048,Loamy,6.3,Beans
20.1,1347,1020,Fertile,6.6,Maize
25.4,1037,1938,Sandy-Loam,7.0,Soybean
39.0,159,297,Sandy-Loam,7.1,Green Gram
21.6,1341,1194,Sandy-Loam,6.4,Maize
11.1,875,2321,Fertile,6.1,Kale
13.5,389,1857,Clay,7.2,Onion
36.7,396,220,Sandy-Loam,5.7,Cowpea
20.2,951,1779,Fertile,6.3,Maize
33.3,211,542,Sandy,6.4,Sorghum
32.4,199,464,Sandy,5.9,Cowpea
34.7,422,449,Sandy-Loam,6.4,Cowpea
26.3,403,880,Sandy-Loam,6.4,Millet
27.0,836,780,Fertile,5.6,Groundnut
35.8,242,30,Sandy,6.5,Green Gram
23.0,735,611,Sandy,5.7,Groundnut
20.5,1289,1109,Fertile,6.4,Maize
23.2,1334,1590,Loamy,6.4,Maize
12.7,996,2083,Fertile,6.6,Kale
19.8,1283,1187,Fertile,5.9,Maize
21.4,885,1804,Sandy-Loam,6.6,Soybean
30.1,928,745,Sandy-Loam,6.0,Groundnut
29.9,436,518,Loamy,6.2,Millet
28.4,376,1027,Sandy,5.6,Millet
32.3,192,399,Loamy,5.7,Cowpea
25.8,724,476,Fertile,6.6,Tomato
32.1,661,734,Sandy-Loam,5.5,Millet
6.2,1098,2858,Fertile,5.6,Irish Potato
11.1,1155,2579,Fertile,5.8,Kale
12.6,343,1935,Clay,6.4,Onion
26.6,654,739,Sandy-Loam,5.9,Millet
13.3,1109,2299,Fertile,6.4,Kale
13.2,537,1831,Loamy,6.6,Onion
36.9,153,51,Sandy-Loam,6.1,Green Gram
23.0,1071,1476,Fertile,6.1,Soybean
26.7,697,915,Loamy,6.8,Tomato
39.6,237,41,Sandy,6.4,Sorghum
17.0,520,1548,Fertile,6.5,Onion
10.7,827,2379,Loamy,6.4,Kale
19.3,976,1808,Fertile,6.0,Soybean
25.2,734,542,Loamy,6.9,Tomato
24.4,1116,1745,Loamy,6.7,Soybean
13.4,634,2572,Clay,6.7,Carrot
12.6,825,2020,Fertile,5.9,Kale
14.9,802,1997,Fertile,6.1,Kale
35.4,188,35,Sandy,6.1,Green Gram
10.1,1067,2143,Clay,6.8,Kale
36.4,264,499,Sandy,5.5,Cowpea
10.7,636,1962,Loamy,7.0,Carrot
18.5,1035,1777,Sandy-Loam,6.2,Maize
26.6,500,1122,Fertile,6.5,Tomato
24.5,964,1775,Fertile,6.7,Soybean
32.9,187,166,Sandy,6.1,Cowpea
10.0,1180,1965,Sandy-Loam,6.7,Kale
29.3,880,286,Sandy-Loam,5.6,Groundnut
24.4,646,509,Loamy,6.2,Groundnut
36.1,366,40,Loamy,5.6,Sorghum
34.9,461,42,Fertile,5.6,Sorghum
23.8,799,1010,Sandy,6.7,Tomato
11.1,381,1378,Sandy,7.1,Onion
26.9,827,668,Clay,6.1,Tomato
5.1,1231,2278,Fertile,5.6,Irish Potato
32.4,213,244,Fertile,6.3,Cowpea
24.8,889,1639,Clay,6.4,Maize
17.7,1296,2279,Fertile,7.0,Beans
21.0,1311,955,Sandy,5.9,Maize
29.4,874,132,Sandy,5.7,Groundnut
21.3,1024,2057,Clay,6.1,Soybean
26.6,469,1081,Sandy,6.2,Tomato
22.5,1037,954,Fertile,5.8,Maize
37.2,296,312,Loamy,6.1,Green Gram
26.9,639,587,Sandy,6.5,Millet
6.2,1010,2286,Fertile,5.8,Irish Potato
11.6,601,2288,Fertile,6.2,Carrot
27.2,662,434,Sandy-Loam,5.7,Groundnut
14.5,1118,1917,Fertile,6.4,Kale
32.5,412,952,Loamy,5.7,Millet
32.4,555,491,Sandy-Loam,6.2,Millet
23.9,586,1139,Loamy,6.6,Tomato
12.6,933,2437,Loamy,6.5,Carrot
19.1,885,1804,Sandy-Loam,6.5,Soybean
14.1,492,1779,Fertile,6.5,Onion
33.7,688,616,Sandy-Loam,6.0,Millet
8.9,936,2507,Sandy-Loam,6.6,Carrot
36.0,347,152,Sandy-Loam,5.9,Sorghum
33.7,241,196,Sandy-Loam,5.7,Sorghum
9.0,631,2711,Sandy-Loam,6.5,Carrot
24.5,846,1900,Fertile,6.3,Soybean
11.1,1164,3039,Fertile,6.3,Irish Potato
17.3,1139,2012,Fertile,6.8,Beans
15.5,1127,2071,Fertile,7.0,Beans
12.7,863,2284,Loamy,6.1,Kale
5.5,1325,2595,Clay,6.0,Irish Potato
10.7,566,2918,Fertile,6.3,Carrot
14.3,414,2001,Clay,6.6,Onion
8.1,706,2919,Sandy-Loam,6.7,Carrot
28.2,940,138,Sandy,6.1,Groundnut
28.3,485,1055,Sandy-Loam,5.5,Millet
26.1,533,492,Sandy,5.7,Millet
23.8,1021,1476,Sandy-Loam,6.8,Maize
20.0,892,2083,Loamy,6.5,Soybean
9.4,595,2101,Loamy,6.3,Carrot
33.6,543,632,Sandy-Loam,5.7,Millet
17.2,1268,1552,Fertile,6.8,Maize
32.2,200,163,Sandy,5.8,Cowpea
12.7,1105,2280,Sandy,6.6,Beans
29.4,271,418,Loamy,6.1,Cowpea
31.4,250,227,Loamy,5.5,Cowpea
22.9,897,1904,Clay,6.3,Soybean
10.7,1052,2197,Fertile,5.9,Irish Potato
28.2,471,828,Sandy-Loam,6.2,Millet
41.3,163,13,Loamy,6.3,Green Gram
26.9,627,868,Fertile,6.5,Tomato
13.1,645,2401,Fertile,6.8,Carrot
30.9,553,1094,Fertile,6.1,Millet
14.6,1503,2118,Fertile,7.0,Beans
38.8,438,304,Sandy-Loam,6.3,Sorghum
26.0,554,1105,Fertile,6.2,Tomato
5.6,1358,2236,Fertile,5.9,Irish Potato
22.9,1260,1090,Loamy,6.1,Maize
33.0,440,733,Loamy,5.9,Millet
12.9,1320,2076,Clay,6.3,Beans
25.6,1199,1564,Fertile,6.4,Soybean
27.9,606,463,Loamy,6.6,Tomato
13.6,565,2072,Sandy,6.9,Carrot
22.0,1118,1600,Loamy,6.0,Maize
10.3,979,2980,Fertile,5.5,Irish Potato
39.4,305,328,Loamy,6.2,Green Gram
11.6,502,1590,Loamy,6.4,Onion
9.4,1247,2554,Clay,6.0,Irish Potato
41.5,316,278,Sandy-Loam,7.0,Green Gram
36.4,454,54,Clay,5.7,Sorghum
20.7,523,1006,Loamy,6.8,Tomato
22.8,973,1494,Sandy-Loam,6.2,Soybean
11.6,344,1912,Clay,7.2,Onion
15.6,289,1623,Fertile,6.4,Onion
40.5,341,36,Sandy-Loam,6.8,Green Gram
34.5,164,344,Sandy,7.0,Green Gram
22.5,562,824,Loamy,6.2,Tomato
21.4,934,1904,Sandy,6.9,Soybean
9.2,1090,3069,Fertile,6.2,Irish Potato
28.2,447,495,Sandy,6.1,Millet
23.4,1322,1167,Loamy,5.9,Maize
11.0,1736,2425,Fertile,6.4,Beans
36.6,195,490,Fertile,5.9,Sorghum
18.1,1406,1680,Fertile,5.9,Maize
24.8,834,1890,Loamy,6.3,Soybean
15.6,281,1998,Sandy-Loam,6.9,Onion
33.3,181,288,Loamy,5.8,Cowpea
11.4,1259,2548,Loamy,6.2,Kale
10.1,1147,2181,Loamy,6.0,Irish Potato
24.9,985,1496,Clay,6.7,Maize
18.2,945,1611,Clay,5.8,Maize
17.7,1055,1783,Clay,6.2,Maize
41.6,279,311,Fertile,6.2,Sorghum
24.2,1102,1934,Fertile,6.2,Soybean
34.2,162,61,Sandy,5.6,Cowpea
19.3,993,1092,Sandy-Loam,6.5,Maize
38.5,311,101,Sandy,7.0,Green Gram
41.4,399,99,Sandy-Loam,5.9,Sorghum
29.8,205,255,Clay,6.0,Cowpea
12.4,1340,1790,Sandy-Loam,6.7,Beans
24.4,537,743,Fertile,6.7,Tomato
14.0,334,2036,Clay,6.7,Onion
13.0,1312,2375,Fertile,6.4,Beans
41.8,459,212,Sandy,5.7,Sorghum
39.3,346,313,Sandy,6.6,Green Gram
22.5,769,1643,Loamy,6.6,Soybean
13.4,835,2557,Sandy-Loam,6.8,Carrot
29.2,487,680,Sandy,6.0,Millet
13.9,1393,1955,Fertile,6.7,Beans
23.7,993,1990,Fertile,6.1,Soybean
25.9,729,425,Sandy-Loam,5.8,Groundnut
25.5,1133,1942,Sandy-Loam,6.5,Soybean
13.1,1157,1871,Sandy-Loam,6.8,Beans
19.3,1186,1901,Sandy-Loam,6.3,Soybean
17.5,1202,1656,Loamy,5.8,Maize
11.1,1392,2868,Sandy,5.8,Irish Potato
7.7,1035,2928,Sandy-Loam,5.7,Irish Potato
41.1,125,267,Sandy,6.9,Green Gram
8.0,630,2134,Fertile,6.7,Carrot
33.6,359,663,Clay,5.8,Millet
29.8,604,752,Sandy,5.8,Groundnut
17.3,1067,1643,Fertile,6.3,Maize
19.8,815,1423,Sandy-Loam,7.0,Soybean
23.6,462,1103,Loamy,6.9,Tomato
15.2,1206,2021,Sandy-Loam,6.8,Kale
39.2,173,606,Sandy,5.7,Sorghum
18.7,1070,1251,Fertile,6.8,Maize
22.0,500,446,Sandy-Loam,6.2,Tomato
22.5,1254,1781,Fertile,6.5,Maize
20.3,698,1022,Sandy,6.4,Tomato
32.0,359,459,Sandy,5.7,Cowpea
12.4,842,2126,Sandy,5.9,Kale
12.6,888,1866,Loamy,6.0,Kale
15.8,828,2203,Fertile,6.7,Kale
39.5,468,653,Sandy,6.0,Sorghum
20.9,1094,1787,Loamy,5.9,Maize
13.0,255,1473,Sandy-Loam,7.0,Onion
33.3,316,285,Loamy,5.8,Cowpea
38.9,198,154,Sandy-Loam,5.7,Sorghum
14.8,1242,2242,Clay,5.9,Kale
13.7,1760,1862,Fertile,6.3,Beans
22.0,722,497,Loamy,6.4,Tomato
13.1,1084,2407,Sandy-Loam,6.2,Kale
35.4,292,63,Clay,6.3,Green Gram
41.0,345,569,Sandy,5.6,Sorghum
11.6,395,1727,Loamy,6.6,Onion
27.0,768,519,Sandy,5.8,Groundnut
35.8,428,268,Sandy-Loam,5.7,Cowpea
16.6,458,1669,Sandy-Loam,6.5,Onion
26.1,486,811,Loamy,6.2,Tomato
11.4,930,2376,Fertile,6.1,Irish Potato
13.1,350,1703,Loamy,6.2,Onion
29.5,200,88,Clay,5.6,Cowpea
5.4,1384,2983,Fertile,6.3,Irish Potato
14.3,1060,1815,Loamy,6.2,Beans
37.2,305,322,Sandy,6.6,Green Gram
8.1,844,2462,Fertile,6.0,Carrot
24.8,1369,1440,Fertile,6.1,Maize
39.9,154,175,Loamy,6.3,Sorghum
11.0,1058,2512,Fertile,5.9,Kale
22.6,807,1917,Sandy-Loam,6.3,Soybean
25.2,1088,1696,Sandy,6.4,Soybean
8.4,616,2054,Clay,6.7,Carrot
38.0,314,201,Loamy,6.2,Green Gram
34.4,351,190,Clay,5.8,Sorghum
38.8,301,609,Clay,5.5,Sorghum
29.0,157,417,Sandy-Loam,5.6,Cowpea
17.9,1239,1681,Fertile,6.4,Maize
28.5,866,709,Sandy-Loam,5.8,Groundnut
18.7,992,1465,Fertile,6.2,Maize
34.4,300,238,Sandy,6.2,Cowpea
35.6,339,112,Sandy,6.2,Sorghum
20.9,972,1992,Sandy,6.7,Soybean
24.8,1102,1351,Fertile,6.5,Maize
39.1,353,224,Sandy,7.0,Green Gram
28.8,1028,676,Fertile,6.2,Groundnut
41.1,153,677,Sandy,6.3,Sorghum
8.8,694,2422,Loamy,6.1,Carrot
10.6,899,2443,Fertile,7.0,Carrot
33.6,667,805,Sandy,6.4,Millet
22.5,989,1963,Fertile,6.6,Soybean
22.4,981,1980,Sandy-Loam,6.6,Soybean
23.6,525,806,Sandy,6.8,Tomato
8.4,933,2317,Sandy-Loam,6.1,Carrot
34.9,127,103,Sandy-Loam,7.0,Green Gram
14.1,331,1625,Sandy,7.0,Onion
23.8,1106,1614,Loamy,6.9,Soybean
16.2,1558,1951,Fertile,6.4,Beans
15.8,347,2071,Sandy,7.0,Onion
42.0,304,268,Clay,6.1,Green Gram
27.8,557,432,Fertile,6.5,Tomato
26.3,553,966,Loamy,6.0,Tomato
14.1,1161,2367,Loamy,6.0,Kale
8.7,1284,2315,Clay,5.6,Irish Potato
21.4,1029,2023,Sandy-Loam,6.8,Soybean
36.7,167,398,Sandy-Loam,6.0,Sorghum
24.0,850,295,Sandy-Loam,6.1,Groundnut
38.0,277,112,Sandy-Loam,6.7,Green Gram
35.0,280,468,Sandy,6.3,Sorghum
37.6,329,346,Sandy-Loam,5.6,Sorghum
26.6,367,552,Fertile,6.5,Millet
17.3,1296,1550,Loamy,6.6,Maize
9.5,1013,2442,Fertile,6.0,Kale
12.8,482,1559,Loamy,6.7,Onion
16.1,1323,2262,Sandy-Loam,6.4,Beans
14.4,1084,2078,Sandy-Loam,5.8,Kale
12.1,1568,1884,Loamy,6.7,Beans
32.9,161,388,Sandy-Loam,6.1,Cowpea
17.6,284,1529,Loamy,7.1,Onion
29.6,914,111,Sandy-Loam,6.0,Groundnut
19.4,1134,1051,Sandy-Loam,6.2,Maize
32.0,375,900,Sandy,6.4,Millet
38.4,376,279,Fertile,7.2,Green Gram
30.8,297,72,Sandy-Loam,6.0,Cowpea
25.4,961,1420,Clay,6.5,Soybean
20.1,642,666,Sandy-Loam,6.6,Tomato
25.3,1144,1960,Fertile,6.1,Soybean
38.0,245,584,Sandy,6.5,Sorghum
36.4,148,176,Sandy,6.8,Green Gram
25.2,691,381,Loamy,6.4,Groundnut
22.2,707,954,Fertile,6.3,Tomato
34.1,258,457,Fertile,5.7,Cowpea
32.9,158,60,Sandy,6.1,Cowpea
29.3,451,1008,Sandy-Loam,6.3,Millet
27.6,728,639,Sandy-Loam,6.2,Millet
17.8,1396,1638,Fertile,5.8,Maize
23.1,518,581,Clay,6.4,Tomato
12.9,661,2592,Fertile,6.5,Carrot
30.9,459,591,Loamy,5.6,Millet
11.6,1243,2167,Sandy-Loam,6.1,Irish Potato
22.8,989,1453,Clay,6.6,Soybean
17.3,273,1520,Sandy-Loam,6.3,Onion
7.5,956,2771,Clay,6.1,Irish Potato
23.6,1001,685,Fertile,6.1,Groundnut
14.4,1435,1996,Sandy,6.5,Beans
28.4,811,310,Clay,6.3,Groundnut
8.6,1195,2499,Loamy,5.8,Irish Potato
13.8,587,2622,Sandy-Loam,6.9,Carrot
17.4,1225,949,Fertile,6.3,Maize
8.9,869,2260,Sandy,6.0,Carrot
28.2,527,460,Sandy-Loam,6.3,Millet
11.5,363,1530,Sandy,6.7,Onion
34.1,280,211,Sandy-Loam,5.6,Sorghum
24.8,775,504,Sandy,6.3,Groundnut
13.1,1749,1844,Fertile,6.9,Beans
36.1,376,319,Loamy,6.9,Green Gram
14.8,1362,1878,Loamy,6.6,Beans
27.6,539,1137,Sandy-Loam,7.0,Tomato
24.5,840,1491,Clay,6.6,Soybean
11.4,1588,2130,Fertile,6.6,Beans
13.0,536,1584,Loamy,6.7,Onion
28.1,351,746,Loamy,6.3,Millet
17.6,338,1870,Sandy,6.7,Onion
40.3,299,369,Loamy,5.6,Sorghum
32.3,196,125,Sandy,6.3,Cowpea
25.1,1160,1586,Sandy-Loam,6.5,Soybean
41.6,157,317,Loamy,7.0,Green Gram
13.1,337,1484,Sandy,7.2,Onion
24.8,529,795,Fertile,6.8,Tomato
17.8,255,1715,Sandy-Loam,6.8,Onion
13.2,1092,2363,Fertile,6.5,Beans
30.5,249,109,Loamy,6.3,Cowpea
36.5,344,437,Sandy-Loam,5.5,Cowpea
9.8,584,2567,Loamy,6.3,Carrot
30.8,475,792,Sandy,6.3,Millet
17.7,1316,1662,Loamy,6.2,Maize
33.0,425,783,Loamy,6.3,Millet
11.4,1191,2500,Clay,6.3,Irish Potato
11.2,1343,2307,Loamy,6.8,Beans
33.9,369,1020,Sandy,5.8,Millet
20.4,1171,1412,Sandy-Loam,6.0,Soybean
15.2,933,2245,Loamy,6.5,Kale
23.9,1031,118,Sandy-Loam,5.5,Groundnut
18.6,1058,1458,Sandy-Loam,5.9,Maize
5.5,1191,2445,Clay,5.5,Irish Potato
22.0,1063,1610,Loamy,6.4,Maize
24.6,658,781,Clay,6.3,Groundnut
6.5,941,2780,Fertile,5.7,Irish Potato
9.9,1168,2409,Fertile,6.0,Irish Potato
7.7,559,2591,Clay,6.5,Carrot
35.7,254,441,Sandy-Loam,5.8,Cowpea
20.7,1066,997,Fertile,6.6,Maize
17.1,1265,1495,Loamy,6.2,Maize
13.1,835,2751,Sandy-Loam,6.8,Carrot
19.6,950,2099,Fertile,6.9,Soybean
12.2,1790,2105,Sandy-Loam,7.1,Beans
35.2,219,348,Clay,5.8,Cowpea
40.9,255,422,Loamy,5.8,Sorghum
21.1,707,705,Fertile,6.3,Tomato
23.4,1195,1207,Fertile,6.0,Maize
13.8,722,2261,Clay,6.4,Carrot
27.1,838,707,Sandy-Loam,5.8,Groundnut
15.3,1249,2405,Loamy,5.8,Kale
27.1,548,474,Sandy-Loam,5.6,Millet
9.4,578,2359,Sandy-Loam,6.7,Carrot
26.9,553,725,Fertile,6.4,Millet
22.8,706,596,Loamy,6.8,Tomato
13.0,395,1578,Loamy,6.2,Onion
13.8,1596,2026,Clay,7.0,Beans
34.4,242,92,Sandy-Loam,5.7,Sorghum
32.2,521,930,Sandy-Loam,5.7,Millet
34.0,378,337,Sandy,6.4,Cowpea
37.5,191,210,Sandy-Loam,6.3,Green Gram
26.3,703,223,Fertile,6.3,Groundnut
18.5,913,1631,Sandy,6.4,Maize
24.3,949,221,Sandy-Loam,5.9,Groundnut
41.7,417,660,Sandy-Loam,5.6,Sorghum
31.1,176,193,Loamy,5.7,Cowpea
16.4,226,1970,Sandy-Loam,6.8,Onion
14.6,1252,2546,Clay,6.0,Kale
13.2,729,2144,Sandy-Loam,6.4,Carrot
24.4,725,169,Sandy-Loam,6.4,Groundnut
29.2,417,668,Clay,5.9,Millet
11.6,1160,1988,Loamy,7.1,Beans
33.7,179,466,Sandy,6.3,Sorghum
11.4,473,1984,Clay,6.7,Onion
15.0,1547,2293,Fertile,7.2,Beans
29.2,813,313,Sandy-Loam,6.3,Groundnut
12.1,812,2040,Clay,5.9,Kale
26.9,447,608,Sandy,5.9,Millet
10.3,670,2548,Sandy-Loam,6.3,Carrot
13.8,1024,1812,Clay,6.1,Kale
15.0,218,1455,Sandy,6.4,Onion
17.8,389,1693,Fertile,6.9,Onion
20.6,802,605,Clay,6.9,Tomato
23.3,724,599,Clay,6.9,Tomato
35.3,235,357,Sandy,5.6,Sorghum
25.0,794,550,Sandy-Loam,5.9,Groundnut
18.0,412,1653,Sandy-Loam,6.5,Onion
9.3,844,2426,Sandy-Loam,6.4,Carrot
10.9,808,2572,Sandy-Loam,6.5,Kale
21.4,1083,1929,Clay,6.2,Soybean
31.4,372,486,Sandy-Loam,5.8,Millet
28.7,860,116,Sandy,5.6,Groundnut
5.3,1132,2642,Sandy-Loam,6.0,Irish Potato
14.4,382,2081,Fertile,6.4,Onion
14.2,259,1550,Sandy,6.3,Onion
26.5,739,876,Sandy-Loam,6.2,Millet
30.9,268,462,Clay,5.9,Cowpea
33.2,445,544,Fertile,5.5,Millet
23.8,1076,1888,Sandy-Loam,6.1,Soybean
42.0,261,171,Fertile,6.2,Green Gram
35.7,215,309,Sandy-Loam,6.1,Green Gram
26.5,819,745,Sandy-Loam,5.9,Groundnut
20.0,1303,1385,Loamy,5.8,Maize
14.5,1299,2554,Fertile,6.3,Kale
9.9,941,2084,Fertile,5.9,Kale
17.3,1233,973,Sandy-Loam,6.1,Maize
12.6,752,2917,Sandy-Loam,7.0,Carrot
21.0,1316,1672,Fertile,6.2,Maize
10.6,920,2567,Fertile,6.4,Kale
29.5,807,727,Sandy-Loam,6.0,Groundnut
13.6,351,1817,Loamy,6.7,Onion
15.3,378,1759,Sandy-Loam,6.3,Onion
36.2,301,687,Sandy-Loam,5.6,Sorghum
21.2,1005,947,Fertile,5.9,Maize
9.6,1211,2531,Sandy,6.1,Kale
16.0,463,1514,Sandy-Loam,6.8,Onion
15.7,1091,1993,Clay,6.5,Kale
38.7,392,445,Fertile,5.7,Sorghum
23.7,826,789,Sandy,6.8,Tomato
17.8,1480,2023,Clay,6.3,Beans
23.1,1006,1738,Sandy,6.5,Soybean
23.3,811,348,Sandy-Loam,5.9,Groundnut
40.5,390,532,Sandy-Loam,6.0,Sorghum
38.3,276,216,Sandy,6.5,Green Gram
37.8,198,400,Sandy,5.9,Sorghum
13.8,594,2372,Loamy,6.7,Carrot
13.6,1221,2476,Fertile,5.9,Kale
21.1,880,1109,Sandy-Loam,6.1,Maize
9.7,1082,2207,Sandy-Loam,6.7,Kale
27.1,748,695,Sandy-Loam,6.2,Groundnut
10.2,1075,2129,Fertile,6.4,Kale
40.1,270,692,Sandy,5.9,Sorghum
22.7,767,1830,Fertile,6.2,Soybean
15.7,299,1789,Sandy,6.6,Onion
13.0,361,1853,Loamy,6.7,Onion
27.9,382,838,Sandy-Loam,6.2,Millet
13.4,936,2364,Sandy,6.2,Kale
11.5,225,1987,Sandy-Loam,6.9,Onion
11.8,606,2435,Loamy,6.5,Carrot
27.9,669,205,Sandy,5.6,Groundnut
33.6,320,261,Sandy,6.5,Sorghum
15.2,304,1658,Sandy-Loam,7.2,Onion
30.2,316,147,Sandy-Loam,5.9,Cowpea
26.4,748,117,Sandy,5.9,Groundnut
35.4,458,336,Sandy-Loam,5.9,Sorghum
12.1,1600,1917,Loamy,6.8,Beans
20.8,733,424,Fertile,6.1,Tomato
10.5,1002,2095,Loamy,6.6,Kale
24.0,788,308,Sandy-Loam,5.9,Groundnut
11.5,1114,3066,Fertile,6.2,Irish Potato
14.8,1109,2202,Fertile,6.6,Beans
21.8,986,1389,Clay,6.3,Maize
13.5,926,2242,Sandy-Loam,6.5,Kale
41.5,340,322,Sandy,6.6,Green Gram
20.4,632,839,Fertile,6.1,Tomato
28.5,667,491,Sandy,5.6,Millet
20.9,996,1501,Loamy,6.9,Soybean
21.4,747,601,Sandy,6.4,Tomato
29.4,553,1061,Sandy,6.5,Millet
23.4,752,1530,Loamy,6.4,Soybean
32.8,653,607,Sandy-Loam,5.7,Millet
27.5,661,891,Sandy,6.1,Tomato
28.8,1007,646,Sandy,6.1,Groundnut
11.5,441,1779,Sandy-Loam,6.6,Onion
34.4,244,255,Sandy,6.3,Green Gram
22.2,860,1764,Loamy,5.9,Maize
32.3,478,426,Clay,5.6,Millet
11.4,238,1514,Sandy,6.6,Onion
33.9,382,167,Clay,6.4,Sorghum
21.1,1042,1630,Sandy-Loam,6.3,Soybean
9.6,708,2645,Sandy-Loam,6.4,Carrot
35.8,196,154,Sandy-Loam,6.1,Cowpea
17.4,481,1399,Clay,6.8,Onion
11.7,1765,1798,Loamy,6.5,Beans
26.6,534,715,Sandy-Loam,6.4,Tomato
37.4,303,468,Sandy-Loam,5.8,Sorghum
12.9,440,2061,Sandy-Loam,7.0,Onion
38.7,307,272,Sandy-Loam,6.5,Green Gram
10.4,557,2209,Fertile,6.1,Carrot
35.0,327,251,Sandy,6.6,Green Gram
9.8,890,1801,Fertile,6.5,Kale
23.4,1274,1071,Sandy-Loam,5.9,Maize
30.7,374,323,Sandy,5.7,Cowpea
14.0,949,1961,Sandy-Loam,6.0,Kale
